BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				eso me pasé la noche entera haciéndole el dibujo. Y como no sabía su nombre, decidí llamarla Lis. Al día siguiente fui a la cita. ¡Qué emocionado estaba! Apenas había trabajado en la oficina. Mis jefes me encontraron raro. ¡Menudo día pasé pensando en ella!... Me pregunté si le diría algo a mi mujer, pero no le dije nada. Cuando llegué al parque... (Casi llora.) Bueno, debió confundirse; no lo entendería bien... Una semana me pasé yendo al parque... Cinco horas cada noche, por lo menos. ¡Seguro que la pilló un coche!
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				. Él se desnudaba y se pegaba con cola diez o doce plumas en la espalda. Luego se ataba con una serie de cuerdas y se lanzaba al vacío. Se balanceaba unas cuantas veces haciendo el ángel o el arcángel y cuando ya estaba harto le izaba. Siempre perdía la mitad de las plumas. Me preguntó que qué pensaría el personal eclesiástico por la mañana al verlas por el suelo.
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				Y así fue. En la calle Mayor pregunté por la mejor joyería. La que me indicaron, tenía muy poco de joyería. Un escaparate repleto de cosas dificultaba enormemente encontrar, entre tanta baratija, algo de valor, algo que compensara el viaje.
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				El joven que me atendió, me enseñó varias pulseras de oro. De poco peso y no mucho valor. Elegí dos que costaban 28 000 pesetas. Como siempre, una vez elegidas, pregunté si tenían inconveniente en aceptar un talón. El chico pareció dudar, pero después dijo que sí, que no había inconveniente. Luego resultó que sí lo hubo, porque fue perdiendo el tiempo simulando colocar el seguro en una de las pulseras, hasta que llegó otro señor, que resultó ser el dueño de la joyería
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				la alarma. No me convenía. Pero tenía que lograr dinero rápidamente. Urgía, no podía esperar y me arriesgué a entrar en otra. No aceptaban talones, dijeron. Entonces tuve miedo de quedarme. Consulté el mapa de carreteras provinciales y el nombre de L. apareció en el plano con letras grandes. Pregunté a un taxista qué tal ciudad era, y el hombre me dijo que era muy grande. Mal sentido de la proporción. En eso me equivoqué. No debería haber ido. Pero fui. No debía, después, haberme quedado en L. tras fracasar en el primer intento. Pero me quedé. Probé
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				de acuerdo con el consiguiente cumplimiento de penas en su día, de acuerdo con la regla 70... (yo conocía al dedillo, mucho más que ellos, la complicada gama futura de cumplimientos que podía derivarse de aquel atestado policial)... a mí me convenía decir la verdad, lo que me favorecía. Al examinar los talonarios, preguntó:
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				— ¿Las conoces? —me preguntó el policía, interesado—. ¿Qué tal son?
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				Me sentía horrorizada. Asustadísima. Estaba cansada tras de una noche sin dormir. Dominada por los nervios. Además, sentía unas irrefrenables ganas de orinar, contenidas durante toda la noche. Ya no podía más. Me estaba orinando. De miedo o de lo que fuera. Pregunté al policía de guardia si podía ir al servicio. Me abrieron el calabozo. El servicio se encontraba al final del pasillo. Una estancia oscura y estrecha, con el suelo completamente inundado de orines y excrementos. Una solemne porquería. Pero yo me estaba orinando. No podía más. Ni siquiera me
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				se a la liberación que produce hacer el amor. Pero no, la tranquilidad que sentía entonces, en medio de aquel servicio inmundo, después de haber orinado, era algo superior a todas las sensaciones experimentadas anteriormente. La placidez que me quedó en el cuerpo era tan grande que, sin saber por qué, me pregunté si aquello podía parecerse a la felicidad.
