BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Emperador.— ¡Estás loco! ¡De una palmada! ¡Jamás! ¿Sabes lo que he soñado esta noche?... Me azotaban y me quejaba. Una chica en mi sueño me dijo: «no te quejes». Le respondí: «¿no ve usted lo que sufro, lo muchísimo que padezco?». Ella se rió y me dijo: «¿Cómo puede sufrir si está en sueños? No es realidad.»  Le dije que se confundía. Ella me respondió que para convencerse no tenía nada más que dar una palmada.
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				mi sueño me dijo: «no te quejes». Le respondí: «¿no ve usted lo que sufro, lo muchísimo que padezco?». Ella se rió y me dijo: «¿Cómo puede sufrir si está en sueños? No es realidad.»  Le dije que se confundía. Ella me respondió que para convencerse no tenía nada más que dar una palmada. Di una palmada y me encontré con las manos juntas entre las cuatro paredes de la cabaña, despierto, sentado sobre la cama.
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Emperador.— (Esposa.) Habladurías. Mi marido era muy impetuoso, muy temperamental, muy fogoso. Pero nunca tuvo con su madre una relación incestuosa. Lo prueba que poco antes de que su madre desapareciera atravesaban una época de odio feroz, entonces su madre le pidió una entrevista a lo cual mi marido respondió diciéndole que aceptaba la entrevista con dos condiciones: Primera, que su madre le diera cada minuto que pasara con ella una suma elevada. Segunda, que —escribía—, «le masturbara con su boca de madre» a fin de que cometiera el mayor de los pecados. Eso decía, ¡fue siempre
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				¿Y cuánto tiempo durará está situación tan desastrosa? Siempre, siempre. Fíjese en los ejercicios espirituales del padre Segnori, el joven, escritos por Muratori, que en Roma preguntó un día a un demonio, que se hallaba en el cuerpo de un energúmeno, cuánto tiempo debía estar en el infierno y respondió con voz rabiosa, haciendo dar al energúmeno fuertes puñetazos sobre una silla siempre, siempre. Tal fue el terror que se apoderó de los circunstantes que muchos jóvenes que se hallaban presentes hicieron una confesión general y mudaron de vida, tanta impresión les habían hecho aquellas dos palabras. ¡Pobre Judas! Mil novecientos setenta años hace,
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				y aún más, que está en el infierno, y el infierno para él es como si empezase. ¡Infeliz Caín! Cinco mil seiscientos años hace que arde en las llamas eternas y el infierno está para él en su principio. Preguntóse un día a otro demonio, ¿desde cuántos años estaba en el infierno? y respondió desde ayer. ¿Cómo desde ayer se le replicó si hay más de cinco mil años que está condenado? Oh, si vosotros supierais, contestó lo que es la eternidad comprenderíais que para ella cinco mil años no son más que un instante. Si un ángel dijese a un condenado tú saldrás del infierno pero tan sólo
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				que era una broma porque me vio llorar fue la primera vez en mi vida y el hombre se preocupó y añadió que no sabía cómo se había podido expresar de ese modo, ya no tenía remedio, no sabía qué hacer, le dolía a él más que a mí, yo tengo mi dignidad, así que le respondí, ¿se le ha subido el cargo a la cabeza? sin poderme contener y mirando a la ventana. Modesto quería que le pegara y hasta llegó a cerrar el despacho con llave y dijo, pégeme ande si eso le hace bien, estuve a punto... lo merecía, ¿pero qué se consigue?
García-Badell, Gabriel: Funeral por Francia. Barcelona: Destino, 1975.	García-Badell, Gabriel	Funeral por Francia	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				a la muerte. Y el abad Agatón, próximo también a la muerte, después de muchos años de penitencia decía: ¡qué será de mí! ¿quién sabe los juicios de Dios? San Arsenio temblaba también a la proximidad de la muerte y como sus discípulos le preguntasen el motivo: hijos míos, les respondió,  no es ésta la primera vez que me ha asaltado este temor y que me ha acompañado en todos los instantes de mi vida. Mas nadie ha temblado como Job. ¿Qué será de mí, dice, cuando se me venga a juzgar? ¿qué podré responderle cuando se me interrogue?
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Fue un alivio saber que ignoraba lo de mi madre. Respondí:
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Ya me esfuerzo —respondí.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Ya no estoy enfermo —respondí.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	a la señora Moraldo. Cuando salió de su cuarto, me quedé pasmado ante ella: «¿Te gusto, Carlitos?» Su rostro, sin maquillar, me recordaba al de la aviadora Amelia Erhart, sólo que el de mi madre era menos joven. «únicamente te falta fumar con boquilla», le respondí.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Hundirlos —respondí—. Eso voy a hacer, Lolita: hundirlos. No sé cómo ni cuándo, pero te juro que los hundiré...
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	No respondió. Encajó bien el reproche. Se mordió los labios. La vi luego estirar con los dientes una pielecita rebelde que le crecía en la comisura:
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Mi madre se alarmaba: «A ti te ocurre algo, Carlitos...» Le dije  que estaba preocupado por las cosas del Banco: «Hay mucho cacao con los J. J.» Mi madre respondió que el tío Rodolfo no podía ver a los hermanos de don Alberto: «Son dos sujetos de mala ley», insistió.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— No te preocupes —respondió Estrella—. Esto acabará muy pronto.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Continuaba tratándome de usted; seguía las normas de su marido. Aquel día le respondí que me encontraba algo indispuesto, y con aquella excusa me fui a mi cuarto. Intenté estudiar, pero no pude: era difícil olvidar la escena de la mañana; la voz de Estrella gritando su odio, la nariz sangrante, mi incapacidad para hacerla feliz... «Me das asco, Carlos.»
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Cuando la situación empezaba a ponerse crítica, me llamaron a declarar. Expliqué todo lo que sabía. Respondí con mi vida. Juré sobre un crucifijo que decía la verdad y sólo, la verdad.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Me dije que era injusto que una mujer tan joven y tan atractiva hubiera encadenado su vida a la de un hombre que podía ser su padre. Le pregunté si tenía hijos. Victoria respondió por ella:
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Es una cuestión de elegir bien —respondió Fuentes.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	que una mujer viuda desde hacía unos meses no debería haber asistido a aquel baile, por muy negro que fuera su disfraz. Y como yo le contestara que el luto era algo que se llevaba en el corazón y que Serena era demasiado joven para encerrarse entre cuatro paredes mientras los demás se divertían, ella me respondió que Justo no merecía un olvido tan rápido: «Un hombre como él...»
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Cuando Carlota se hubo ido a la cama, cenamos los dos solos. Al llegar al postre, le dije que había de marcharme: «Me esperan unos americanos en Cala Rosa.» Alicia no respondió. Se limpió los labios con la servilleta.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Puedes suponerlo —respondió.
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	Luego empezó la discusión. Fue a propósito de mis continuos  viajes a Barcelona. Paco decía: «Eso te ocurre por ser esclavo de tu trabajo.» Respondí que sin «aquella esclavitud» ninguno de los que estaban en Can Pou podrían disfrutar de la finca. Serena saltó en seguida:
Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	— Me has entendido perfectamente. Anoche te oí llegar a las dos. Venías con Paco y me dijiste que habías llegado sola. Te pregunté a qué hora te habías acostado y me respondiste que hacía tres horas que dormías... Mentías, Serena. Os estuve escuchando, os estuve «soportando» hasta que todo acabó.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Son manías de Neus —respondió el señor Claudedeu señalando a su mujer—. En realidad, hace una hora que podríamos haber llegado, pero insistió en demorarnos para no ser los primeros. No le parece de buen tono, ¿eh?
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Haz el favor de no coartar el pobre Nicolás —respondió a la señora el señor Savolta, y dirigiéndose al señor Claudedeu—: Tengo noticias de primera mano. Te vas a petar de risa, con perdón —y a las damas—: Si me dais vuestro permiso, me lo llevo.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Oh, se porta bien, pero no parece muy animada —respondió su amiga—. Más bien un poco aturdida por todo este ajetreo, como si dijéramos.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—No diga eso, señora —respondió el joven Lepprince con una sonrisa—. Diga más bien que ha elegido usted un tranquilo modus vivendi.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Sí, desde luego, ¿y usted? —respondió el francés, que no había reconocido a su interlocutor.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Pues no, no, señora —respondió María Rosa Savolta.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Mucho —respondió Lepprince—, están muy bien.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Amigo de Lepprince —respondí.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				j.d. Quiero leerle un párrafo. Dice así: «Preguntado el declarante si sospechaba que la muerte del citado Pajarito de Soto podía deberse a un atentado criminal, respondió que no abrigaba sospecha alguna...» ¿Es correcto este párrafo?
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				gabán, porque no tenía. No hacía ni dos horas que yo había dejado a Teresa en su casa. La vida era un loco tiovivo, como solía decir Cortabanyes. Caminamos charlando por la Gran Vía y nos sentamos en los jardines de la reina Victoria Eugenia. Pajarito de Soto me habló de los anarquistas, yo le respondí que nada sabía.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Algo hay de cierto —respondí.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Verdad —respondí con cierta sorna.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Ha llamado por teléfono don Severiano. Le dije que se había usted ausentado por mor de unas diligencias y respondió que llamaría de nuevo.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				buscar al comisario Vázquez, de la Brigada Social. Dile todo cuanto sabes y él te sacará de aquí.» Yo le repliqué:  «¿Y cómo haré para ir a buscar al comisario Vázquez, si no me dejan salir de aquí, Señor, si me tienen preso?» Y Él respondió: «Yo iré a buscarle a Jefatura y le diré que venga, pero tú has de contarle todo lo que sabes.» Y desapareció dejándome sumido en la oscuridad, en la que permanezco desde que se fue.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—Tal vez —respondió el comisario Vázquez.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				el teatro, la representación se había interrumpido y actores y público procedían a desalojar el local atropellándose y tropezando con los que habían sido derribados y siendo derribados a su vez por aquellos que venían detrás. Del gallinero partió un nuevo disparo hacia el palco de Lepprince. Max había saltado al palco contiguo y respondió al ataque con una andanada de sus dos pistolas que detonaban al mismo tiempo y sin cesar. Una bala perdida hirió a un espectador que comenzó a chillar. Rodó un cuerpo por el gallinero y quedó atravesado en una de las gradas. Los terroristas, que no debían de ser menos de cinco, se
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—De mi padre —respondí.
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				me hice lustrar los zapatos, mientras repetía un confuso monólogo cuyos gestos debían trascender, pues advertí la mirada burlona de los parroquianos. Pagué y salí. Caminando llegué a casa de Lepprince. El portero me dijo que había salido hacía poco más de media hora. Le pregunté si sabía a dónde había ido y me respondió, como si revelase un gran secreto, que había ido a Sarriá, a casa de la viuda de Savolta, a pedir la mano de María Rosa. Nos separamos como conspiradores. Anduve hasta la Plaza de Cataluña y allí tomé el tren. Una vez en Sarriá recorrí las calles empinadas, como había hecho meses antes
Mendoza, Eduardo: La verdad sobre el caso Savolta. Barcelona: Seix Barral, 1994.	Mendoza, Eduardo	La verdad sobre el caso Savolta	1975	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				—La verdad, sí —respondí con sinceridad.
